subject	lo	hi	n_total	n_gp	frac_gp
100610	6	5	3407	474	0.1391253302025242
100610	21	4	3571	0	0.0
100610	38	1	59	2	0.03389830508474576
100610	25	6	204	2	0.00980392156862745
100610	8	54	1	0	0.0
100610	34	8	144	0	0.0
100610	40	2	20	0	0.0
100610	19	6	459	20	0.04357298474945534
100610	24	6	568	49	0.08626760563380281
100610	2	47	8665	6	0.0006924408540103866
100610	5	7	2833	176	0.06212495587716202
100610	41	2	13209	873	0.06609130138541904
100610	1	3	2137	33	0.01544220870379036
100610	7	1	39	1	0.02564102564102564
100610	30	8	4007	0	0.0
100610	44	2	328	12	0.036585365853658534
100610	4	45	5	0	0.0
100610	4	41	1515	0	0.0
100610	4	3	1804	0	0.0
100610	31	8	47	0	0.0
100610	39	3	271	0	0.0
100610	6	47	3	0	0.0
100610	6	43	2	0	0.0
100610	21	6	7606	460	0.06047856955035498
100610	8	50	9	0	0.0
100610	4	19	3835	0	0.0
100610	24	4	538	0	0.0
100610	2	5	213	135	0.6338028169014085
100610	5	3	162	0	0.0
100610	38	3	33	0	0.0
100610	46	2	170	7	0.041176470588235294
100610	27	4	1544	0	0.0
100610	4	26	32	0	0.0
100610	4	1	746	12	0.0160857908847185
100610	32	8	8	0	0.0
100610	6	3	66	4	0.06060606060606061
100610	25	4	838	0	0.0
100610	2	7	15	2	0.13333333333333333
100610	2	20	52	0	0.0
100610	8	33	793	0	0.0
100610	6	1	266	134	0.5037593984962406
100610	3	7	91	0	0.0
100610	1	5	147	59	0.4013605442176871
100610	23	6	679	46	0.06774668630338733
100610	2	22	2196	86	0.039162112932604735
100610	4	47	3	0	0.0
100610	6	40	908	8	0.00881057268722467
100610	2	25	1055	8	0.007582938388625593
100610	2	18	2	2	1.0
100610	5	38	2245	16	0.0071269487750556795
100610	4	40	86	0	0.0
100610	42	4	13	0	0.0
100610	8	52	2	0	0.0
100610	2	27	698	12	0.017191977077363897
100610	2	6	530	337	0.6358490566037736
100610	38	7	598	1	0.0016722408026755853
100610	23	2	349	24	0.06876790830945559
100610	4	6	221	17	0.07692307692307693
100610	21	2	7577	1257	0.16589679292596013
100610	46	6	7	0	0.0
100610	44	6	6	5	0.8333333333333334
100610	53	8	2	0	0.0
100610	46	4	15	0	0.0
102311	2	12	78	0	0.0
102311	1	34	151	5	0.033112582781456956
102311	2	8	34	0	0.0
100610	4	44	5	0	0.0
100610	8	51	8	4	0.5
102311	31	7	165	0	0.0
100610	4	2	925	110	0.11891891891891893
102311	25	7	2	0	0.0
102311	19	7	502	0	0.0
102311	3	36	126	0	0.0
102311	48	4	3	0	0.0
102311	4	29	2600	0	0.0
102311	5	48	2406	160	0.06650041562759768
102311	41	3	93	0	0.0
102311	50	1	16	6	0.375
102311	6	53	142	2	0.014084507042253521
102311	4	14	2	0	0.0
102311	4	51	1	1	1.0
102311	9	2	2286	45	0.01968503937007874
102311	15	2	2	0	0.0
102311	35	5	16	0	0.0
102311	44	1	298	89	0.2986577181208054
102311	5	30	2547	5	0.0019630938358853552
102311	34	5	21	0	0.0
102311	14	2	5	1	0.2
102311	7	32	36	0	0.0
102311	48	8	367	0	0.0
102311	29	2	12622	2418	0.19157027412454444
102311	20	5	3989	104	0.026071697167209827
102311	21	5	45	0	0.0
102311	6	16	4629	100	0.02160293799956794
102311	28	2	11	0	0.0
102311	7	16	43	0	0.0
102311	2	36	144	21	0.14583333333333334
102311	5	51	297	175	0.5892255892255892
102311	45	1	2727	418	0.1532819948661533
102311	18	7	5	0	0.0
102311	49	8	11	0	0.0
102311	4	30	222	0	0.0
102311	5	14	301	0	0.0
102311	30	7	424	0	0.0
102311	51	1	1	1	1.0
102311	5	29	7	0	0.0
102311	7	53	14	0	0.0
102311	8	25	5	0	0.0
102311	8	18	8	0	0.0
102311	1	10	645	78	0.12093023255813953
102311	3	8	6	0	0.0
102311	8	27	23	0	0.0
102311	1	8	9	0	0.0
102311	1	12	23	6	0.2608695652173913
102311	5	16	904	5	0.0055309734513274336
102311	2	34	231	28	0.12121212121212122
102311	7	29	21	0	0.0
102311	3	10	25	0	0.0
102311	47	1	572	62	0.10839160839160839
102311	24	7	728	0	0.0
102311	5	53	88	17	0.19318181818181818
102311	42	3	15	0	0.0
102311	26	7	167	0	0.0
102311	3	12	3	0	0.0
102311	6	48	9923	787	0.0793106923309483
102311	7	51	24	0	0.0
102311	6	30	22395	2388	0.10663094440723375
102311	7	14	10	0	0.0
102311	23	5	7	0	0.0
102311	36	5	7	0	0.0
102311	16	2	26	4	0.15384615384615385
102311	46	1	78	5	0.0641025641025641
102311	37	5	1	0	0.0
102311	43	3	41	0	0.0
102311	7	48	33	0	0.0
102311	6	29	344	30	0.0872093023255814
102311	5	32	1	1	1.0
102311	22	5	3054	9	0.0029469548133595285
102311	4	16	9	0	0.0
102311	6	14	3880	15	0.003865979381443299
102311	6	51	308	0	0.0
102311	1	36	125	3	0.024
102311	2	10	3512	23	0.006548974943052392
102311	3	34	89	0	0.0
102311	7	34	66	0	0.0
102311	27	7	5	0	0.0
102311	4	8	36	0	0.0
102311	9	4	1	0	0.0
102311	37	7	68	0	0.0
102311	33	7	135	0	0.0
102311	23	7	18	0	0.0
102311	3	48	1	0	0.0
102311	3	30	28	0	0.0
102311	2	51	1	1	1.0
102311	42	1	418	58	0.13875598086124402
102311	3	14	1	0	0.0
102311	3	51	5	0	0.0
102311	33	5	7	0	0.0
102311	26	5	3225	95	0.02945736434108527
102311	13	2	270	21	0.07777777777777778
102311	2	30	531	54	0.1016949152542373
102311	8	23	97	0	0.0
102311	4	36	61	0	0.0
102311	46	3	30	0	0.0
102311	7	10	3	0	0.0
102311	20	7	2595	0	0.0
102311	36	7	627	0	0.0
102311	3	29	194	0	0.0
102311	5	8	51	8	0.1568627450980392
102311	7	8	1316	0	0.0
102311	6	34	26	4	0.15384615384615385
102311	8	6	273	37	0.13553113553113552
102311	43	1	2002	402	0.2007992007992008
102311	22	7	1084	0	0.0
102311	4	34	271	0	0.0
102311	6	36	14	0	0.0
102311	1	29	1324	0	0.0
102311	38	2	6	2	0.3333333333333333
102311	18	5	171	18	0.10526315789473684
102311	31	5	1	0	0.0
102311	19	5	14	0	0.0
102311	50	3	3	0	0.0
102311	41	1	2815	144	0.05115452930728242
102311	3	16	2	0	0.0
102311	5	10	1	1	1.0
102311	11	2	2926	183	0.06254272043745727
102311	44	3	32	0	0.0
102311	2	32	1	0	0.0
102311	8	21	364	0	0.0
102311	39	2	3865	32	0.008279430789133247
102311	24	5	428	15	0.035046728971962614
102311	9	6	1	0	0.0
102311	52	7	87	0	0.0
102311	1	30	37	1	0.02702702702702703
102311	8	38	50	0	0.0
102311	2	53	16	0	0.0
102311	8	40	52	0	0.0
102311	21	7	172	0	0.0
102311	35	7	86	0	0.0
102311	4	33	247	0	0.0
102311	45	3	143	0	0.0
102311	7	50	14	0	0.0
102311	7	15	67	1	0.014925373134328358
102311	6	31	3	0	0.0
102311	4	10	5	0	0.0
102311	49	6	1095	22	0.02009132420091324
102311	5	17	26	2	0.07692307692307693
102311	1	9	238	2	0.008403361344537815
102311	2	35	52	1	0.019230769230769232
102311	8	26	175	0	0.0
102311	3	11	40	0	0.0
102311	7	28	46	0	0.0
102311	5	52	2673	517	0.1934156378600823
102311	17	8	1	0	0.0
102311	33	1	401	16	0.0399002493765586
102311	27	1	484	8	0.01652892561983471
102311	3	35	331	1	0.0030211480362537764
102311	22	3	240	0	0.0
102311	6	28	1282	142	0.11076443057722309
102311	16	8	16	0	0.0
102311	1	13	43	1	0.023255813953488372
102311	7	49	13	0	0.0
102311	1	37	6957	88	0.012649130372286906
102311	37	3	318	0	0.0
102311	4	15	3	0	0.0
102311	6	15	4117	29	0.007043964051493806
102311	23	3	2945	0	0.0
102311	4	50	2	0	0.0
102311	6	17	76	3	0.039473684210526314
102311	45	7	1	0	0.0
102311	6	50	1005	11	0.010945273631840797
102311	6	52	2953	11	0.0037250253979004403
102311	28	4	10	0	0.0
102311	14	8	9	0	0.0
102311	1	35	143	2	0.013986013986013986
102311	3	13	2	0	0.0
102311	11	6	6	1	0.16666666666666666
102311	5	49	963	178	0.18483904465212878
102311	28	8	471	0	0.0
102311	21	3	1684	1	0.0005938242280285036
102311	2	54	11	1	0.09090909090909091
102311	5	28	775	2	0.0025806451612903226
102311	39	6	3	0	0.0
102311	9	3	13	0	0.0
102311	54	5	963	80	0.08307372793354102
102311	40	5	5020	17	0.003386454183266932
102311	24	1	18	0	0.0
102311	8	45	1	1	1.0
102311	31	1	408	1	0.0024509803921568627
102311	2	37	2117	5	0.0023618327822390174
102311	1	11	450	5	0.011111111111111112
102311	6	33	35	6	0.17142857142857143
102311	4	31	23	0	0.0
102311	8	24	2520	0	0.0
102311	15	8	33	0	0.0
102311	25	1	3289	140	0.042566129522651264
102311	38	6	1748	8	0.004576659038901602
102311	8	19	38	0	0.0
102311	7	17	2	0	0.0
102311	20	3	689	0	0.0
102311	44	7	4	0	0.0
102311	5	50	1086	264	0.2430939226519337
102311	29	8	297	0	0.0
102311	19	1	14756	612	0.041474654377880185
102311	39	4	176	0	0.0
102311	5	15	1296	409	0.31558641975308643
102311	2	33	358	48	0.1340782122905028
102311	40	7	6	0	0.0
102311	11	4	19	0	0.0
102311	24	3	22	0	0.0
102311	6	37	1	0	0.0
102311	8	20	780	0	0.0
102311	5	11	1	0	0.0
102311	18	3	1	0	0.0
102311	11	8	1	0	0.0
102311	39	8	13	0	0.0
102311	21	1	2911	90	0.03091721058055651
102311	4	35	39	0	0.0
102311	45	5	2	2	1.0
102311	20	1	116	4	0.034482758620689655
102311	2	52	1	0	0.0
102311	25	3	175	0	0.0
102311	2	50	28	0	0.0
102311	38	4	2	0	0.0
102311	31	3	1314	0	0.0
102311	3	33	484	0	0.0
102311	22	1	316	1	0.0031645569620253164
102311	27	3	114	0	0.0
102311	8	41	25	0	0.0
102311	6	35	25	1	0.04
